analysis_scope,comparison_name,n_pairs,safe_to_unsafe_count,unsafe_to_safe_count,decision_changed_count,flip_rate_safe_to_unsafe,flip_rate_unsafe_to_safe,decision_change_rate,delta_beta_mean,delta_beta_median,delta_pf_mean,pf_ratio_median,flip_rate_safe_to_unsafe_wilson95_low,flip_rate_safe_to_unsafe_wilson95_high,flip_rate_unsafe_to_safe_wilson95_low,flip_rate_unsafe_to_safe_wilson95_high,decision_change_rate_wilson95_low,decision_change_rate_wilson95_high
whole_grid,random_point_to_random_empirical,12800,2247,338,2585,0.175546875,0.02640625,0.201953125,-0.1782662855965852,-0.0358738468374021,0.011567109375,1.0425229378935548,0.16905392356781676,0.18223451383485714,0.02376742367468256,0.029329255240561628,0.19508824746415002,0.2089968449247739
whole_grid,group_point_to_group_empirical,12800,2175,357,2532,0.169921875,0.027890625,0.1978125,-0.1487739992237697,-0.013846114841289,0.008174921875,1.0163709515887054,0.16351493125363523,0.17652688141823988,0.025176654771939064,0.03088788344726592,0.1910026684670833,0.2048036584950026
whole_grid,group_point_to_group_conformal,12800,1642,403,2045,0.12828125,0.031484375,0.159765625,-0.1511518934094115,-0.0193354111867191,0.017666328125,1.0242586947204997,0.12259944517897374,0.13418610386073793,0.028597000809943346,0.034652880987272,0.15352059361774223,0.16621481329019056
whole_grid,random_point_to_group_conformal,720,73,29,102,0.1013888888888888,0.0402777777777777,0.1416666666666666,-0.100893454994362,0.0,0.0109749999999999,1.0,0.08141371339202555,0.1255949581820242,0.028188304477453102,0.05724678364453459,0.11809409028060819,0.1690426249323007
whole_grid,random_empirical_to_group_empirical,720,43,56,99,0.0597222222222222,0.0777777777777777,0.1375,0.0661288621724569,0.0,-0.0068180555555555,1.0,0.04463814160291424,0.07947945034472957,0.06037962072415398,0.09965743906159907,0.11426265645217894,0.16458495079808938
