beta_threshold,comparison_name,n_pairs,safe_to_unsafe_count,unsafe_to_safe_count,decision_changed_count,flip_rate_safe_to_unsafe,flip_rate_unsafe_to_safe,decision_change_rate,beta_ref_median,beta_comp_median,delta_beta_mean
2.5,random_point_to_random_empirical,2464,1222,0,1222,0.49594155844155846,0.0,0.49594155844155846,3.480783189245597,2.5092497721069766,-1.0470470616300385
2.5,group_point_to_group_empirical,2528,863,0,863,0.341376582278481,0.0,0.341376582278481,3.480783189245597,2.600858869235233,-0.9563544208471982
2.5,group_point_to_group_conformal,2528,696,0,696,0.27531645569620256,0.0,0.27531645569620256,3.480783189245597,2.764590467340103,-0.8781242709892795
3.0,random_point_to_random_empirical,2464,2084,0,2084,0.8457792207792207,0.0,0.8457792207792207,3.480783189245597,2.5092497721069766,-1.0470470616300385
3.0,group_point_to_group_empirical,2528,2118,0,2118,0.8378164556962026,0.0,0.8378164556962026,3.480783189245597,2.600858869235233,-0.9563544208471982
3.0,group_point_to_group_conformal,2528,1861,0,1861,0.7361550632911392,0.0,0.7361550632911392,3.480783189245597,2.764590467340103,-0.8781242709892795
3.5,random_point_to_random_empirical,2464,1180,7,1187,0.4788961038961039,0.002840909090909091,0.481737012987013,3.480783189245597,2.5092497721069766,-1.0470470616300385
3.5,group_point_to_group_empirical,2528,1203,3,1206,0.47587025316455694,0.0011867088607594937,0.47705696202531644,3.480783189245597,2.600858869235233,-0.9563544208471982
3.5,group_point_to_group_conformal,2528,1197,3,1200,0.473496835443038,0.0011867088607594937,0.47468354430379744,3.480783189245597,2.764590467340103,-0.8781242709892795
