member_type,n_members,b_min_mm,b_max_mm,h_min_mm,h_max_mm,rho_min,rho_max,fy_values_mpa,demand_ratio_values
rc_beam_flexure,288,250.0,350.0,450.0,650.0,0.006,0.024,400;500,0.40;0.60;0.80;0.95
rc_short_column_axial,128,300.0,600.0,300.0,600.0,0.01,0.04,400;500,0.40;0.60;0.80;0.95
