comparison_name,n_pairs,safe_to_unsafe_count,unsafe_to_safe_count,decision_changed_count,flip_rate_safe_to_unsafe,flip_rate_unsafe_to_safe,decision_change_rate,delta_beta_mean,delta_beta_median,delta_pf_mean,pf_ratio_median,beta_ref_median,beta_comp_median
random_point_to_random_empirical,2464,2084,0,2084,0.8457792207792207,0.0,0.8457792207792207,-1.0470470616300385,-1.0459464518325614,0.01009273538961039,45.27860696517413,3.480783189245597,2.5092497721069766
group_point_to_group_empirical,2528,2118,0,2118,0.8378164556962026,0.0,0.8378164556962026,-0.9563544208471982,-0.934864984302362,0.00760751582278481,32.68316831683168,3.480783189245597,2.600858869235233
group_point_to_group_conformal,2528,1861,0,1861,0.7361550632911392,0.0,0.7361550632911392,-0.8781242709892795,-0.8148735090254622,0.009009177215189873,23.77227722772277,3.480783189245597,2.764590467340103
