comparison_name,n_pairs,safe_to_unsafe_count,unsafe_to_safe_count,decision_changed_count,flip_rate_safe_to_unsafe,flip_rate_unsafe_to_safe,decision_change_rate,delta_beta_mean,delta_beta_median,delta_pf_mean,pf_ratio_median
random_point_to_random_empirical,12800,2247,338,2585,0.175546875,0.02640625,0.201953125,-0.17826628559658522,-0.035873846837402135,0.011567109375000002,1.0425229378935548
group_point_to_group_empirical,12800,2175,357,2532,0.169921875,0.027890625,0.1978125,-0.1487739992237697,-0.013846114841289059,0.008174921875000001,1.0163709515887054
group_point_to_group_conformal,12800,1642,403,2045,0.12828125,0.031484375,0.159765625,-0.15115189340941154,-0.019335411186719192,0.017666328125000002,1.0242586947204995
random_point_to_group_conformal,720,73,29,102,0.10138888888888889,0.04027777777777778,0.14166666666666666,-0.10089345499436207,0.0,0.010974999999999999,1.0
random_empirical_to_group_empirical,720,43,56,99,0.059722222222222225,0.07777777777777778,0.1375,0.06612886217245695,0.0,-0.006818055555555556,1.0
