source,n_cases,delta_beta_mean,delta_beta_median,delta_pf_mean,delta_pf_median
resistance_model_error,5760,0.18930444013339265,0.13235356001973633,0.02438877314814815,0.006
load_effect,5760,0.14921621627258463,0.05762096504309816,0.015637037037037036,0.002
concrete_strength,5760,0.11934405586027914,0.006300870110628132,0.00845462962962963,0.0006666666666666666
steel_strength,5760,0.02440608658864866,0.0,0.0027362268518518517,0.0
geometry,5760,0.0028036323659396674,0.0,0.0001947916666666665,0.0
